time,consumption,temperature
2022-01-01,100.970,-8.787
2022-01-02,106.840,-6.725
2022-01-03,92.590,-4.233
2022-01-04,85.940,-3.292
2022-01-05,76.540,-1.646
2022-01-06,110.180,-9.738
2022-01-07,119.580,-9.667
2022-01-08,91.430,-13.021
2022-01-09,106.460,-10.575
2022-01-10,113.280,-17.279
2022-01-11,122.240,-9.933
2022-01-12,84.050,-0.375
2022-01-13,66.430,2.621
2022-01-14,60.710,0.521
2022-01-15,89.560,-1.954
2022-01-16,62.580,-1.500
2022-01-17,85.150,-3.617
2022-01-18,73.400,-5.142
2022-01-19,64.150,0.250
2022-01-20,82.940,-1.992
2022-01-21,135.800,-3.800
2022-01-22,124.770,-9.171
2022-01-23,112.260,-2.717
2022-01-24,103.740,-0.121
2022-01-25,96.440,-3.458
2022-01-26,91.720,-2.704
2022-01-27,82.290,-0.779
2022-01-28,73.520,-3.808
2022-01-29,83.140,-3.254
2022-01-30,98.360,-3.562
2022-01-31,113.230,-8.983
2022-02-01,135.840,-14.225
2022-02-02,112.590,-13.075
2022-02-03,114.730,-14.846
2022-02-04,99.960,-6.888
2022-02-05,84.980,-0.708
2022-02-06,68.520,-1.125
2022-02-07,76.850,-1.483
2022-02-08,77.160,-3.083
2022-02-09,76.430,-2.250
2022-02-10,72.710,-2.333
2022-02-11,94.700,-4.721
2022-02-12,108.840,-3.454
2022-02-13,75.610,-0.050
2022-02-14,71.360,0.925
2022-02-15,80.640,0.679
2022-02-16,63.760,0.767
2022-02-17,78.250,-0.225
2022-02-18,93.170,-4.213
2022-02-19,87.420,-5.596
2022-02-20,73.850,-2.962
2022-02-21,80.130,-3.904
2022-02-22,101.940,-7.729
2022-02-23,101.960,-11.321
2022-02-24,72.720,1.492
2022-02-25,79.600,0.046
2022-02-26,100.560,-3.675
2022-02-27,92.430,-0.692
2022-02-28,62.530,-0.392
2022-03-01,64.400,0.692
2022-03-02,69.730,1.196
2022-03-03,71.370,-1.071
2022-03-04,90.470,-4.179
2022-03-05,82.560,-3.800
2022-03-06,83.270,-1.221
2022-03-07,79.640,-3.000
2022-03-08,79.690,0.775
2022-03-09,49.510,-2.579
2022-03-10,69.570,-0.562
2022-03-11,63.340,0.554
2022-03-12,79.690,0.342
2022-03-13,71.560,1.121
2022-03-14,57.940,1.621
2022-03-15,54.790,1.696
2022-03-16,71.940,1.421
2022-03-17,64.900,2.929
2022-03-18,86.150,1.125
2022-03-19,57.940,1.600
2022-03-20,59.530,5.333
2022-03-21,63.320,3.746
2022-03-22,56.060,2.583
2022-03-23,67.440,1.496
2022-03-24,44.760,4.283
2022-03-25,59.210,3.850
2022-03-26,75.690,-0.646
2022-03-27,80.960,-3.605
2022-03-28,65.610,0.508
2022-03-29,71.550,-4.642
2022-03-30,81.900,-4.554
2022-03-31,71.130,-5.158
2022-04-01,84.930,-3.858
2022-04-02,65.690,-3.587
2022-04-03,69.120,-1.554
2022-04-04,72.790,-0.742
2022-04-05,66.380,-3.987
2022-04-06,54.990,-3.321
2022-04-07,89.640,-0.729
2022-04-08,67.710,1.742
2022-04-09,50.540,0.333
2022-04-10,62.740,-0.079
2022-04-11,69.170,3.008
2022-04-12,50.490,2.967
2022-04-13,52.880,2.375
2022-04-14,51.120,2.038
2022-04-15,65.010,2.704
2022-04-16,62.160,2.550
2022-04-17,62.490,4.792
2022-04-18,55.370,6.083
2022-04-19,41.810,7.846
2022-04-20,59.910,8.917
2022-04-21,45.450,8.567
2022-04-22,47.460,8.300
2022-04-23,54.820,6.521
2022-04-24,54.960,6.017
2022-04-25,63.700,5.758
2022-04-26,68.640,3.721
2022-04-27,74.170,0.350
2022-04-28,82.180,0.479
2022-04-29,81.260,0.437
2022-04-30,51.440,3.546
2022-05-01,54.960,5.233
2022-05-02,40.410,5.433
2022-05-03,54.340,3.096
2022-05-04,60.240,2.696
2022-05-05,52.520,8.250
2022-05-06,42.060,10.933
2022-05-07,37.230,6.829
2022-05-08,70.190,4.275
2022-05-09,38.320,6.450
2022-05-10,52.420,10.908
2022-05-11,34.520,9.775
2022-05-12,36.810,8.487
2022-05-13,51.790,9.188
2022-05-14,51.030,8.088
2022-05-15,58.130,8.138
2022-05-16,44.610,8.133
2022-05-17,54.190,4.596
2022-05-18,59.140,9.467
2022-05-19,31.740,11.508
2022-05-20,36.630,11.729
2022-05-21,39.520,10.683
2022-05-22,27.120,11.188
2022-05-23,31.010,12.546
2022-05-24,27.700,13.521
2022-05-25,39.160,14.558
2022-05-26,27.880,11.675
2022-05-27,30.250,10.754
2022-05-28,26.240,10.171
2022-05-29,37.250,12.142
2022-05-30,29.860,12.950
2022-05-31,39.380,13.108
2022-06-01,45.100,12.058
2022-06-02,38.000,12.404
2022-06-03,62.830,10.975
2022-06-04,24.420,14.162
2022-06-05,40.480,11.267
2022-06-06,29.260,12.271
2022-06-07,31.770,15.171
2022-06-08,37.100,14.246
2022-06-09,32.590,13.871
2022-06-10,33.930,15.646
2022-06-11,35.470,18.154
2022-06-12,25.050,15.792
2022-06-13,27.520,15.188
2022-06-14,26.750,15.092
2022-06-15,32.000,15.208
2022-06-16,32.100,14.162
2022-06-17,34.270,14.954
2022-06-18,40.120,13.021
2022-06-19,50.200,11.342
2022-06-20,41.800,14.808
2022-06-21,32.270,16.829
2022-06-22,33.460,14.279
2022-06-23,36.080,16.650
2022-06-24,27.950,20.562
2022-06-25,33.580,21.867
2022-06-26,23.410,23.225
2022-06-27,18.270,24.746
2022-06-28,25.250,24.550
2022-06-29,22.030,22.812
2022-06-30,19.180,23.604
2022-07-01,14.750,23.146
2022-07-02,17.860,23.225
2022-07-03,15.810,19.863
2022-07-04,18.670,20.050
2022-07-05,29.180,17.229
2022-07-06,18.180,13.688
2022-07-07,25.190,14.012
2022-07-08,33.550,15.217
2022-07-09,37.620,12.858
2022-07-10,36.510,15.325
2022-07-11,27.570,18.396
2022-07-12,18.640,19.729
2022-07-13,31.150,19.217
2022-07-14,15.510,15.408
2022-07-15,17.990,12.233
2022-07-16,27.090,12.204
2022-07-17,39.570,11.946
2022-07-18,25.410,14.392
2022-07-19,34.200,14.700
2022-07-20,14.710,17.062
2022-07-21,16.670,22.579
2022-07-22,18.340,21.333
2022-07-23,26.900,17.008
2022-07-24,14.210,17.279
2022-07-25,12.910,17.000
2022-07-26,21.900,18.083
2022-07-27,23.480,15.208
2022-07-28,30.730,14.162
2022-07-29,36.690,14.596
2022-07-30,42.060,13.283
2022-07-31,23.320,16.133
2022-08-01,17.360,18.788
2022-08-02,19.430,15.371
2022-08-03,47.020,16.708
2022-08-04,25.130,19.354
2022-08-05,15.260,19.604
2022-08-06,15.150,15.446
2022-08-07,30.700,12.748
2022-08-08,37.960,14.179
2022-08-09,20.650,13.932
2022-08-10,40.150,16.679
2022-08-11,14.150,17.483
2022-08-12,14.690,17.833
2022-08-13,29.140,16.633
2022-08-14,21.460,19.450
2022-08-15,19.710,20.325
2022-08-16,13.930,24.308
2022-08-17,16.640,20.750
2022-08-18,14.110,21.325
2022-08-19,21.990,22.075
2022-08-20,31.400,23.183
2022-08-21,13.950,19.971
2022-08-22,21.120,16.300
2022-08-23,19.550,14.383
2022-08-24,19.250,14.312
2022-08-25,21.150,14.938
2022-08-26,33.280,15.762
2022-08-27,12.510,17.700
2022-08-28,18.210,15.404
2022-08-29,44.370,13.433
2022-08-30,29.580,12.021
2022-08-31,37.370,8.804
2022-09-01,47.510,8.054
2022-09-02,58.490,7.196
2022-09-03,54.350,7.258
2022-09-04,40.670,7.233
2022-09-05,21.950,7.621
2022-09-06,48.840,8.883
2022-09-07,31.730,7.704
2022-09-08,62.600,6.688
2022-09-09,32.470,7.375
2022-09-10,56.490,8.896
2022-09-11,33.210,10.988
2022-09-12,21.880,9.600
2022-09-13,18.030,10.912
2022-09-14,11.130,10.688
2022-09-15,14.160,11.258
2022-09-16,10.470,9.729
2022-09-17,21.070,9.904
2022-09-18,19.210,9.679
2022-09-19,18.240,9.704
2022-09-20,19.900,7.746
2022-09-21,19.990,6.792
2022-09-22,21.690,5.496
2022-09-23,29.110,8.987
2022-09-24,17.490,10.233
2022-09-25,22.160,8.812
2022-09-26,26.510,7.521
2022-09-27,23.070,8.442
2022-09-28,27.180,7.287
2022-09-29,23.610,5.708
2022-09-30,33.650,5.679
2022-10-01,25.140,5.754
2022-10-02,23.620,7.750
2022-10-03,27.610,7.112
2022-10-04,26.400,5.675
2022-10-05,28.200,7.462
2022-10-06,22.840,11.021
2022-10-07,35.620,10.304
2022-10-08,24.230,9.833
