index,time,consumption,temperature
1,2022-01-01 00:00:00,5.28,-6.2
2,2022-01-01 01:00:00,3.84,-5.9
3,2022-01-01 02:00:00,5.85,-5.5
4,2022-01-01 03:00:00,5.63,-4.6
5,2022-01-01 04:00:00,3.92,-4.3
6,2022-01-01 05:00:00,3.69,-4.1
7,2022-01-01 06:00:00,3.03,-4.5
8,2022-01-01 07:00:00,1.95,-6.0
9,2022-01-01 08:00:00,2.09,-7.0
10,2022-01-01 09:00:00,3.7,-7.8
11,2022-01-01 10:00:00,5.16,-8.8
12,2022-01-01 11:00:00,3.87,-8.0
13,2022-01-01 12:00:00,2.19,-7.3
14,2022-01-01 13:00:00,2.11,-7.8
15,2022-01-01 14:00:00,2.17,-7.9
16,2022-01-01 15:00:00,2.13,-8.8
17,2022-01-01 16:00:00,2.86,-10.1
18,2022-01-01 17:00:00,4.26,-11.0
19,2022-01-01 18:00:00,5.22,-12.3
20,2022-01-01 19:00:00,3.33,-13.8
21,2022-01-01 20:00:00,2.29,-14.3
22,2022-01-01 21:00:00,2.4,-14.8
23,2022-01-01 22:00:00,11.55,-15.5
24,2022-01-01 23:00:00,12.45,-14.6
25,2022-01-02 00:00:00,11.33,-14.6
26,2022-01-02 01:00:00,11.98,-14.5
27,2022-01-02 02:00:00,5.97,-14.2
28,2022-01-02 03:00:00,3.2,-11.6
29,2022-01-02 04:00:00,2.49,-10.7
30,2022-01-02 05:00:00,2.86,-7.7
31,2022-01-02 06:00:00,2.71,-7.2
32,2022-01-02 07:00:00,2.55,-6.7
33,2022-01-02 08:00:00,4.34,-6.4
34,2022-01-02 09:00:00,4.98,-6.1
35,2022-01-02 10:00:00,3.0,-5.5
36,2022-01-02 11:00:00,2.77,-5.3
37,2022-01-02 12:00:00,2.59,-4.8
38,2022-01-02 13:00:00,2.48,-4.5
39,2022-01-02 14:00:00,1.74,-4.4
40,2022-01-02 15:00:00,2.31,-4.2
41,2022-01-02 16:00:00,4.12,-4.3
42,2022-01-02 17:00:00,5.31,-4.1
43,2022-01-02 18:00:00,2.72,-3.9
44,2022-01-02 19:00:00,2.18,-4.0
45,2022-01-02 20:00:00,1.87,-4.1
46,2022-01-02 21:00:00,1.83,-4.2
47,2022-01-02 22:00:00,10.38,-4.2
48,2022-01-02 23:00:00,11.13,-4.2
49,2022-01-03 00:00:00,9.79,-4.2
50,2022-01-03 01:00:00,5.04,-4.2
51,2022-01-03 02:00:00,2.74,-4.2
52,2022-01-03 03:00:00,1.36,-4.2
53,2022-01-03 04:00:00,1.59,-4.3
54,2022-01-03 05:00:00,1.72,-4.3
